ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal,lat,lng
115145,"Geoffrey Peter ""Geoff"" Stewart",M,26.0,200.0,90.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Bronze,-33.8678,151.21
46857,Brett Ronald Hayman,M,28.0,165.0,54.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,-33.8678,151.21
48487,Yvette Higgins,F,22.0,173.0,73.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,-33.8678,151.21
48563,Darryn William Hill,M,26.0,174.0,88.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Team Sprint,Bronze,-33.8678,151.21
48579,"Joanne Kay ""Jo"" Hill",F,27.0,182.0,70.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,-33.8678,151.21
49584,Stephen Harris Holt,M,25.0,196.0,91.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,-33.8678,151.21
49822,Kate Jon-Marie Hooper,F,22.0,177.0,73.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,-33.8678,151.21
50382,Andrew James Hoy,M,41.0,172.0,63.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,-33.8678,151.21
50382,Andrew James Hoy,M,41.0,172.0,63.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,-33.8678,151.21
50802,"Nicole Elaine ""Nikki"" Hudson (Mott-)",F,24.0,165.0,54.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,-33.8678,151.21
50810,"Geoffrey Andrew ""Geoff"" Huegill",M,21.0,190.0,93.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,Bronze,-33.8678,151.21
50810,"Geoffrey Andrew ""Geoff"" Huegill",M,21.0,190.0,93.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,-33.8678,151.21
52029,Rachel Anne Imison,F,21.0,167.0,69.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,-33.8678,151.21
53129,Lauren Elizabeth Jackson,F,19.0,196.0,85.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,-33.8678,151.21
53353,"Robert ""Rob"" Jahrling",M,26.0,204.0,96.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,-33.8678,151.21
55692,Leisel Marie Jones,F,15.0,177.0,68.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,Silver,-33.8678,151.21
55692,Leisel Marie Jones,F,15.0,177.0,68.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,-33.8678,151.21
55707,Michellie Yvonne Jones,F,31.0,180.0,60.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Women's Olympic Distance,Silver,-33.8678,151.21
